Data,Tempo,Velocidade,Direção
2021-07-27,04:00:00,1,92
2021-07-27,05:00:00,,173
2021-07-27,06:00:00,,264
2021-07-27,07:00:00,,294
2021-07-27,08:00:00,,302
2021-07-27,09:00:00,,325
2021-07-27,10:00:00,1,332
2021-07-27,11:00:00,,277
2021-07-27,12:00:00,1,319
2021-07-27,13:00:00,1,333
2021-07-27,14:00:00,3,337
2021-07-27,15:00:00,2,296
2021-07-27,16:00:00,3,327
2021-07-27,17:00:00,2,344
2021-07-27,18:00:00,1,294
2021-07-27,19:00:00,2,247
2021-07-27,20:00:00,3,211
2021-07-27,21:00:00,3,230
2021-07-27,22:00:00,3,232
2021-07-27,23:00:00,3,218
2021-07-28,00:00:00,3,216
2021-07-28,01:00:00,3,223
2021-07-28,02:00:00,3,205
2021-07-28,03:00:00,2,233
2021-07-28,04:00:00,2,227
2021-07-28,05:00:00,2,231
2021-07-28,06:00:00,2,228
2021-07-28,07:00:00,2,216
2021-07-28,08:00:00,2,224
2021-07-28,09:00:00,2,220
2021-07-28,10:00:00,2,240
2021-07-28,11:00:00,2,230
2021-07-28,12:00:00,2,216
2021-07-28,13:00:00,2,217
2021-07-28,14:00:00,2,194
2021-07-28,15:00:00,2,200
2021-07-28,16:00:00,3,215
2021-07-28,17:00:00,2,238
2021-07-28,18:00:00,3,204
2021-07-28,19:00:00,2,222
2021-07-28,20:00:00,3,212
2021-07-28,21:00:00,3,208
2021-07-28,22:00:00,2,206
2021-07-28,23:00:00,3,213
2021-07-29,00:00:00,3,202
2021-07-29,01:00:00,3,211
2021-07-29,02:00:00,2,207
2021-07-29,03:00:00,2,202
2021-07-29,04:00:00,1,207
2021-07-29,05:00:00,2,199
2021-07-29,06:00:00,2,203
2021-07-29,07:00:00,2,209
2021-07-29,08:00:00,2,204
2021-07-29,09:00:00,2,200
2021-07-29,10:00:00,2,202
2021-07-29,11:00:00,2,200
2021-07-29,12:00:00,3,188
2021-07-29,13:00:00,4,182
2021-07-29,14:00:00,4,185
2021-07-29,15:00:00,4,183
2021-07-29,16:00:00,3,197
2021-07-29,17:00:00,2,215
2021-07-29,18:00:00,3,210
2021-07-29,19:00:00,2,198
2021-07-29,20:00:00,2,193
2021-07-29,21:00:00,2,177
2021-07-29,22:00:00,2,175
2021-07-29,23:00:00,1,170
2021-07-30,00:00:00,1,190
2021-07-30,01:00:00,2,185
2021-07-30,02:00:00,1,196
2021-07-30,03:00:00,1,194
2021-07-30,04:00:00,1,213
2021-07-30,05:00:00,1,200
2021-07-30,06:00:00,1,197
2021-07-30,07:00:00,1,211
2021-07-30,08:00:00,,234
2021-07-30,09:00:00,1,232
2021-07-30,10:00:00,,227
2021-07-30,11:00:00,1,228
2021-07-30,12:00:00,2,225
2021-07-30,13:00:00,1,248
2021-07-30,14:00:00,1,256
2021-07-30,15:00:00,2,247
2021-07-30,16:00:00,2,212
2021-07-30,17:00:00,2,194
2021-07-30,18:00:00,1,190
2021-07-30,19:00:00,1,207
2021-07-30,20:00:00,1,210
2021-07-30,21:00:00,1,213
2021-07-30,22:00:00,1,177
2021-07-30,23:00:00,1,164
2021-07-31,00:00:00,,155
2021-07-31,01:00:00,,212
2021-07-31,02:00:00,,232
2021-07-31,03:00:00,,221
2021-07-31,04:00:00,,240
2021-07-31,05:00:00,,266
2021-07-31,06:00:00,,251
2021-07-31,07:00:00,,311
2021-07-31,08:00:00,,300
2021-07-31,09:00:00,,279
2021-07-31,10:00:00,,70
2021-07-31,11:00:00,,162
2021-07-31,12:00:00,,176
2021-07-31,13:00:00,1,285
2021-07-31,14:00:00,1,298
2021-07-31,15:00:00,1,40
2021-07-31,16:00:00,1,291
2021-07-31,17:00:00,1,333
2021-07-31,18:00:00,1,320
2021-07-31,19:00:00,1,245
2021-07-31,20:00:00,1,226
2021-07-31,21:00:00,1,207
2021-07-31,22:00:00,,205
2021-07-31,23:00:00,,166
